cell_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,cell_meta_cluster,cell_meta_cluster_rename
11,0.2550317486102444,0.3803820937760562,0.2369105473660149,0.3392575829074795,0.342021670439048,0.3004961723805798,0.1538700889529559,0.2322069551972034,0.3511591555637998,0.2473130527318181,0.2863298401428653,0.2155744124026287,0.2662887450699592,0.3278965709682784,0.1316958675624087,0.2316050176404605,0.1293435574260637,0.2582046987967903,0.23685962805368,0.2753615230115841,0.2685379474155166,0.1854207547091384,0.2357668805241671,0.2686684042317455,2,Fibroblast
12,0.2577664734999554,0.3959563729076322,0.2318826351084119,0.3399708879496769,0.3530971970785046,0.3222089660372568,0.1525118742918898,0.2425790675583843,0.3729453925831363,0.260316550627179,0.2924190309429359,0.2104225169316833,0.277169316542121,0.3202648619398503,0.1305047233556011,0.2307927806318109,0.1266626167902897,0.2865442814821982,0.2243171711444438,0.2710620801555528,0.2453860185442797,0.1462098788228117,0.2149450889694001,0.2635287657670823,2,Fibroblast
13,0.2602070689528382,0.4223626141591167,0.2256282472031414,0.3376098445198177,0.3698760373614779,0.3578094418506304,0.1500902552236484,0.2579811798175145,0.4111372105641414,0.2835927203408409,0.3103039276524983,0.2043731019594452,0.2978707231883021,0.306160488988945,0.124402424875807,0.2234887037926962,0.1193143275749482,0.341406358963579,0.1992736014507915,0.2617574751457653,0.2068565867743286,0.0902064771839587,0.1821438529261118,0.2516610824925194,6,Antigen presenting cell
14,0.257655455394187,0.4107775283579513,0.2312141955380598,0.3342341363863483,0.3575661520182976,0.3441440934697834,0.1500719882326007,0.2536967427293603,0.3958003525479364,0.2748461095304506,0.330749718185231,0.2133505352456297,0.2978370872580992,0.3060963504663927,0.1252201431282482,0.2203297557014689,0.1230676997123868,0.3329424730260143,0.2028483449444985,0.2685302387624302,0.225722121487256,0.0965405312670494,0.1992304909689262,0.2461713929790226,6,Antigen presenting cell
15,0.2523190662364974,0.4020027724103858,0.2318392020312286,0.3314462330508244,0.3493152855964905,0.3361434468519497,0.1499010810314304,0.249947128259257,0.381712771966705,0.2657940419480257,0.3540011072713424,0.2224677983164687,0.3024982095247987,0.3051564048727559,0.1251321744679549,0.2165817186667336,0.1244217197096679,0.32930505274212,0.2041996482903042,0.2740693047787176,0.2404244540767573,0.1004975161273707,0.2131118399037039,0.240718427192908,6,Antigen presenting cell
16,0.2523816711260521,0.3836339213966382,0.2436453449107345,0.3307830650537767,0.3291807951274439,0.3092480561232602,0.1507262737057061,0.243867814068973,0.361064165190018,0.2561981006775928,0.340755854887845,0.2233174926705597,0.2805843303876386,0.3047614938807217,0.1494415828066938,0.2227055258356019,0.1720419364997149,0.3248072887800431,0.2292340154908448,0.2889434783647166,0.2537761369757399,0.1037177409181381,0.2187484239156071,0.2325521678895602,6,Antigen presenting cell
17,0.2511946352976364,0.3908746953516323,0.2379556503583427,0.3291208589895887,0.3384707373766449,0.3237280842555464,0.1503247331216877,0.2466633124774564,0.367674355531586,0.2580951939945091,0.3702278253272307,0.2298343878864698,0.3020256647662612,0.3051723339688848,0.1263089269264566,0.2140477288427072,0.1276487901968884,0.3186212806706462,0.2077540568861061,0.2804703251183889,0.2577122284643651,0.1062498091510077,0.2281023401256175,0.2357943575974169,6,Antigen presenting cell
18,0.2438975223862216,0.3842099848240399,0.2357225636562448,0.3263493255831216,0.3325000109308142,0.3192624643213472,0.1497905800940852,0.2437157524291953,0.3556212730780838,0.249746615812952,0.3951587227416463,0.2388822364081984,0.3089083163933838,0.3041545976382363,0.1242036703900042,0.2092838448478349,0.1255170695539689,0.3188240770778624,0.2065956083374563,0.2845146242350482,0.2702601202116103,0.1097388203995549,0.2411100996643451,0.2312453698052594,6,Antigen presenting cell
19,0.2407264534137851,0.3750424258131943,0.2383729258534598,0.324130183509757,0.3231838156077223,0.3094461067490798,0.1497034970512135,0.2409810627559515,0.3423965199882769,0.2422373144388387,0.4145629856905969,0.24670776529664,0.3107057725052514,0.3039311686728758,0.1240405883827235,0.2059112366438663,0.1262995014080501,0.3111773946317855,0.2082178719035476,0.2903393370514872,0.2866097792788581,0.1144616587611092,0.2560251285079503,0.2265441105608566,8,Macrophage
20,0.2342455890768153,0.3671844772087295,0.2377394041554029,0.3211245164609841,0.3148650046036706,0.3020607472266475,0.1490324923149386,0.2384746877192936,0.3290780297789212,0.2341151511265862,0.4389473839838749,0.2557920781812117,0.3155356321614315,0.3030322493202403,0.1230521415365018,0.2011850287236482,0.1262134116624994,0.3083780466026755,0.2082275013553478,0.2957545882488,0.3016286940697997,0.1186513876895344,0.2708204305928442,0.221160167613905,8,Macrophage
21,0.2628120851581031,0.3317899081600383,0.2896891192331967,0.3717278443392203,0.2544981111074387,0.1454039263693607,0.1587706342790104,0.2045453931081782,0.232466450189127,0.1875994223444324,0.1753556319041406,0.2288129708169347,0.1086503122680486,0.3049262211512611,0.3261031224017184,0.3076327330246565,0.4704473121424878,0.3777361886561324,0.4046535513469264,0.4369164755906934,0.2709483145609895,0.0642566198003346,0.1275811680709621,0.184273413158523,6,Antigen presenting cell
22,0.269733707098681,0.3367028726423878,0.289220146452035,0.3669792366140578,0.2609673926438034,0.1609729602358258,0.1587366837681879,0.2102490155458572,0.2496763216726767,0.195617972034685,0.1880485730634329,0.2259812591627241,0.1262713020924855,0.3074906151304474,0.3038028943025635,0.2997707292719719,0.4328308567679318,0.3439293151674422,0.3854948418431852,0.4176605526171445,0.2721455775915997,0.0766992674943854,0.1443222490504059,0.1916494266837863,6,Antigen presenting cell
23,0.2735132628751386,0.3443821464951346,0.2834711323816481,0.3631752586013964,0.2684019578849518,0.1808045824646853,0.1572594715433563,0.2131651182823544,0.2694081378602232,0.2155339842767084,0.2079706383287418,0.2209389979491156,0.1476413083078455,0.3081069321314312,0.2752919735775573,0.2895180027257006,0.3850709549700166,0.3144079683981502,0.3594650786107533,0.3932217869407551,0.277837440143299,0.0887514340789999,0.1639235107453911,0.2031773249639208,6,Antigen presenting cell
24,0.2674533497554692,0.343024529977411,0.2820606774900579,0.3526879059327116,0.2737112658275826,0.201664425460561,0.1568197222086051,0.2163289517039864,0.2806309948161243,0.2237793142482902,0.2282944348695625,0.2199203894152316,0.1700302268922015,0.3049557671858136,0.2631094033341423,0.2769618455858448,0.3703485413542938,0.3144080168396742,0.3437101890728336,0.373668116294359,0.2723499338326489,0.0935661046563122,0.1738537195400019,0.2044320874108439,6,Antigen presenting cell
25,0.2616918133157972,0.3574145717244262,0.2628704850985122,0.3466982979617978,0.2946045311916032,0.2407493193562462,0.1559583163875982,0.2258540121040456,0.3076611902266437,0.2331536407189298,0.260849886401965,0.2185725571689732,0.2075448757071394,0.3052807084860461,0.2261162585608071,0.2622101793093831,0.3010885797865535,0.3131968710944853,0.3053884736995538,0.3425584931806325,0.2640367219847201,0.0972516664271052,0.1894274603681245,0.2175535464254928,6,Antigen presenting cell
26,0.2564953185617344,0.3441183090543566,0.2612337814671396,0.3388507275739478,0.3004067315748669,0.245737449138579,0.1550136752518987,0.218751104152123,0.3079283482564759,0.2290552711444804,0.2665775041262214,0.2193923618542917,0.2243422879153305,0.3256241178731596,0.1809652834840199,0.2423809163306623,0.2251218719170996,0.2399130686243948,0.2855411512119188,0.3088633669993718,0.2993321780133859,0.190789209957634,0.2469663690247205,0.2502768708578637,2,Fibroblast
27,0.2536372012333486,0.3306531343608632,0.2503621324177193,0.3452320621372494,0.3062352553908233,0.2258885018032325,0.1590642977472637,0.2020890206805927,0.2832491703843881,0.2149941472459403,0.2334298740557764,0.2218373679838721,0.2126177938047237,0.3572904943051954,0.140626520685968,0.246279363238142,0.1394871947615185,0.1537329956725643,0.2830940894997313,0.2898352712419948,0.3434340046993312,0.3033460649613259,0.2988020200536603,0.3042092326243798,2,Fibroblast
28,0.2761309953536198,0.3495853464718558,0.2755704219796739,0.3586764344435896,0.3009419979791801,0.2166009608842314,0.1620683633786991,0.2078210693124584,0.3104230450881722,0.2248624908634978,0.233475653644661,0.2070855861502779,0.1991142204248302,0.3464974973511985,0.1418126412351396,0.2606391650045795,0.1511220925410175,0.1538181230996803,0.2767579038741575,0.309346561121077,0.3423171179825625,0.2322175543101874,0.2755653006670153,0.3040648355356335,2,Fibroblast
29,0.2683411717077663,0.3393240593538034,0.2758387663073787,0.3440494735222869,0.3069471519704714,0.2349415098990328,0.1638427587388436,0.200744868951314,0.2911909812422555,0.2216510300068984,0.2337186552860887,0.2138440708069944,0.2266391566522667,0.3356615865580748,0.1731464695289936,0.2496224518290326,0.2071600186213533,0.15111999892861,0.2937676897666325,0.305036611704762,0.310998258405447,0.2610069671441608,0.246975856206409,0.2686621237412086,2,Fibroblast
30,0.2386931383159788,0.3505053259743753,0.2207428755437519,0.3587046841747226,0.358872878749813,0.3111350035059095,0.1404668168388011,0.2089613087270199,0.2879080559979983,0.1970534799608215,0.2706522266509344,0.2238044175138091,0.271142810216388,0.3473863000075516,0.1546329708668131,0.2467704293935742,0.1480337180909831,0.1940288310320959,0.2935438585551054,0.3012352046472311,0.2958848319700797,0.2122224353101045,0.2527362268845979,0.259648201528756,1,B cell
31,0.2622863242390536,0.3699444736019853,0.242928801207126,0.3432491318047566,0.3281751173465969,0.2790417234311294,0.1566505341652174,0.2283413705307074,0.3337783122490368,0.2398432282583125,0.2801410561707993,0.217504164333792,0.2530096062359409,0.3299706810852603,0.1451398009015672,0.2418283388571013,0.1495370978070666,0.2329120101277057,0.253162868013739,0.2876006884814581,0.2835460767625496,0.1828040723916594,0.2416841883780842,0.26292839634997,2,Fibroblast
32,0.2560598437071507,0.3991373353746235,0.2367654215718959,0.3347271019063383,0.3446301231546471,0.3267164779865034,0.1504704545739025,0.2498581092465232,0.382695408595138,0.2684269569553464,0.3081861522951522,0.2097835969008762,0.2772825926257814,0.3045485010454691,0.15162034222591,0.2277840923823078,0.1744453642836496,0.3414494191568033,0.2271273093984427,0.2801109513109237,0.225588283910549,0.0934519046795079,0.1933046766560101,0.2392684180149626,6,Antigen presenting cell
33,0.27714388502767,0.4135121858076703,0.2377881628099383,0.3411779759533707,0.3565685099661776,0.3330862696097253,0.1540241894866602,0.251656400423942,0.3956086043051514,0.2776571138561413,0.2936741024205081,0.2030377742836227,0.2826357098608879,0.3084399520958426,0.1365812963233659,0.2354585007561661,0.1355849792131762,0.3038664995408049,0.2164187460289747,0.2723012396272745,0.2231433541497459,0.0956340857732928,0.1883794571406215,0.2486269202674436,6,Antigen presenting cell
34,0.2727343620948943,0.4003945008469765,0.2391511046651304,0.3453815912615237,0.3496846944406334,0.3235881018082169,0.1572790041822415,0.2452284250399369,0.3761337683061226,0.2654972226040668,0.3042421083678108,0.2097377532329464,0.2831874898893035,0.3073165402264753,0.145037036713453,0.238388544719054,0.1473134624035846,0.2895380385918191,0.2259018414507069,0.2805183126723846,0.2337407667392282,0.1002021603068343,0.1926910078841027,0.2434040269252596,6,Antigen presenting cell
35,0.2630532262032633,0.3920051821991919,0.2398582375222505,0.3382700402883948,0.3420814052739113,0.3167543302844011,0.1530225669631972,0.2439178402311188,0.3679596055364746,0.2598484530154888,0.3221129432322195,0.2172246127185538,0.2825095433765044,0.3109180558821374,0.1386574232500101,0.2291150683909543,0.142131661309284,0.2949879295267683,0.22424569108358,0.2824701353618347,0.251601846822689,0.1125344686587017,0.2154036876894429,0.2446259629044175,6,Antigen presenting cell
36,0.2655712695036013,0.3859289622664762,0.2485648574408021,0.332853638811707,0.3295102606381655,0.3006384482480962,0.1522111588726873,0.2420983642405968,0.3637228455116892,0.2598546207563564,0.3317588698707107,0.2223591505340627,0.2762594439785419,0.3141478348148923,0.1317696879078606,0.2257867610010686,0.1342724627786153,0.2824155743286372,0.2228507663932359,0.2826469860435818,0.2701711079416744,0.1278200415168088,0.2347792092785766,0.2455507211871887,6,Antigen presenting cell
37,0.2546566335825664,0.374211761973201,0.2433001716676442,0.334764869772898,0.3273124072911033,0.3004833960076377,0.1533379046361526,0.2388228110475904,0.3434516462873266,0.2452888098876416,0.3534746773988591,0.2308956662505719,0.2859291030738277,0.3111967706654577,0.140997903794281,0.2235427315647382,0.1473653581091076,0.2822709120945626,0.2293370042021456,0.2926775031574621,0.279264608151554,0.1205462797971605,0.2402028158500914,0.2356663770370754,8,Macrophage
38,0.2457119260887518,0.37249997345489,0.2421245430000796,0.3271989333980678,0.3213823420755849,0.3018449828231156,0.1513248554546451,0.2384379518110371,0.3404417069785321,0.2426270555633469,0.3883140984000042,0.2405965792602347,0.2978687965021173,0.3059281369730098,0.1349101550574229,0.213369528773949,0.1442376269199454,0.3028352526067908,0.2204713232943867,0.2924638525062718,0.2834053507845223,0.119023497338239,0.2488943860919141,0.2286974498787614,8,Macrophage
39,0.2276981653463896,0.3741673959277233,0.2297827245386836,0.3203933466947477,0.3267353506197068,0.3171817642354299,0.1490079560833803,0.2358258784924359,0.3361171375693944,0.2326527051898776,0.4428541338058437,0.2571062125399158,0.3270132881906698,0.3014560733287751,0.1204018766401757,0.2016095963930837,0.1222961061555461,0.3305278753969988,0.2043248983059113,0.2882987945770344,0.2833411918940317,0.1129469079351604,0.2569464088818583,0.2221719818644306,8,Macrophage
40,0.2404089297334055,0.3624512766938891,0.2435307872819896,0.3255783621512985,0.3125404361266237,0.2922348856198118,0.1512947363660064,0.2363969002956595,0.3270202480611803,0.2341836764934781,0.407249624202839,0.2484408277570055,0.2990110000453078,0.3063415025576634,0.1351218199692767,0.2088121976460746,0.144879200444767,0.2956596376217273,0.2219813783546328,0.2987221831506284,0.3007632950938206,0.1248156841070426,0.2651853022580559,0.2241670296241486,8,Macrophage
41,0.2831908193252851,0.3405590344714777,0.3123624417696948,0.3738321541125338,0.2597176629245744,0.1489028924974141,0.166238334311986,0.2022434611666731,0.2472204880390533,0.2175695724045545,0.176174036286362,0.2187036872295306,0.116332075986147,0.3044608904052638,0.3080519896526818,0.3052817538048349,0.4471433396974744,0.3062595358088147,0.390270696530612,0.4243600334270499,0.2800053594105635,0.0639899099296993,0.1259159277693264,0.1917113621773792,6,Antigen presenting cell
42,0.2669605400375715,0.3341307024001348,0.2982250447321308,0.3926771510684881,0.255892586680923,0.1503038472911915,0.1459377647103732,0.1933892726507413,0.2223507526564749,0.1697340007752297,0.1697459713506236,0.221468457529425,0.1098104368635952,0.3186567653627574,0.324065420402142,0.332277060526675,0.4784297595250797,0.2908954910222312,0.4290145491618918,0.4579677243649536,0.2844463692388512,0.0620768038875021,0.1325749133014452,0.182170372797326,6,Antigen presenting cell
43,0.2568744421134559,0.3180355456171165,0.2747295267969494,0.3587550860853947,0.2529230664172839,0.1547362810894262,0.1503465612600418,0.1933222250886424,0.2345776925782253,0.1884085572532983,0.1724326375666512,0.2286019774195962,0.1287411795434329,0.3176384674191047,0.304945815520408,0.2790289253923008,0.4409207952544464,0.2804760200755984,0.3958714201422179,0.4035597041459009,0.2947023568331205,0.1790224486835703,0.1734023904669835,0.2130608965546072,2,Fibroblast
44,0.2666195378005789,0.3710216155859726,0.262801988836756,0.3535517665347406,0.30456725943089,0.2438128813229293,0.1555859061183547,0.2278274823779652,0.3160975798657496,0.2335189125229905,0.2509834709758695,0.2179937529501333,0.2044441894726022,0.3042496281042752,0.2258980476549284,0.2631920916226756,0.2969610155054301,0.3380829153727482,0.3039951703559562,0.3519257966040664,0.2494820354249858,0.0845665989676025,0.1664107873979208,0.2147583004271479,6,Antigen presenting cell
45,0.2819207761898754,0.3648134328751381,0.2584128646922882,0.3619796077998014,0.3796562669158075,0.2274097471874366,0.1906801088716799,0.1822222038305551,0.2607711529610211,0.1757959820462316,0.1995471881322502,0.2214369546692979,0.2164094355646023,0.2962441240993015,0.3238941702615941,0.2459450269873319,0.2322042294956073,0.1138559735457386,0.3605341965699862,0.6523874984294827,0.2009246730903799,0.0756566783344937,0.1152713556421816,0.1635797290832597,1,B cell
46,0.3092611450758111,0.369111003512194,0.2494843093179044,0.3822375434286446,0.3000145167444029,0.2372333641421696,0.1612278053829702,0.2060181152710882,0.2842619850268721,0.2147349119711463,0.2238036253282445,0.1907232001403886,0.2023609933110492,0.3294949351747271,0.1957634225821381,0.3963960336534819,0.2141318055798499,0.1590401264466126,0.3083142430862484,0.332876683874159,0.274634419122774,0.122579084539431,0.1943643400908249,0.2310295395221376,1,B cell
47,0.2463179497902519,0.3151750766571103,0.2343761152287584,0.332218377733835,0.3024538839512014,0.2211717356896037,0.1677990770996401,0.2251617735603837,0.2694543593822447,0.1970939381215544,0.2266239585415318,0.2448677092325598,0.2130894841556203,0.3720479568215512,0.138032559871938,0.2344773191317294,0.1348634437591154,0.1464307016163632,0.2986463089446666,0.2745815895021927,0.315611062186195,0.3806371540580431,0.293200713230057,0.2856292659658044,2,Fibroblast
48,0.2288054436206723,0.3044252178033328,0.220275938465058,0.3673814095605575,0.2869021249140477,0.1953478506723693,0.1469591322563125,0.2015125863957509,0.2538353344597474,0.1846818771550835,0.2221797647970155,0.2319354101404655,0.1722581866700807,0.3975747810868591,0.1299642159046155,0.2523516047921109,0.1201182275085274,0.1315490813305039,0.2960987148924903,0.2976494506820208,0.4003079939627124,0.3747759670767164,0.362276694073134,0.3034751611381146,2,Fibroblast
49,0.2483882312131225,0.3266335441609685,0.2392219262779452,0.3557150794974961,0.3054847887332762,0.2236944961676067,0.1498244125776269,0.211088887334347,0.2798351303448266,0.2063704665804637,0.2436033930468197,0.2224428544257775,0.202008343306982,0.3627392645297177,0.1538134597852083,0.2463930316758934,0.1501536916695567,0.1499242779010517,0.2858159380045208,0.3058954969991562,0.3726322083197858,0.2613691090672559,0.3273613016169613,0.2843310663675726,2,Fibroblast
50,0.2561222848307266,0.338644506956253,0.2429004440176133,0.3520785761995079,0.3061355602718323,0.2370564223863343,0.1537489195974043,0.2168095131310678,0.2927215964093499,0.2218046871543341,0.2608615815243993,0.2217652109218816,0.2169345203090494,0.346471862143198,0.1606690353060314,0.2486576034817438,0.1663755518105696,0.1782420345358446,0.2801775905690192,0.3069473267231153,0.342039296477323,0.2160497203728757,0.2914654608761037,0.272263969914013,2,Fibroblast
51,0.2565096693415837,0.3647455536823777,0.2265503765720032,0.3561022496397873,0.3279506316290301,0.2764520083064856,0.1452611936592726,0.2409539846280698,0.3311508163992465,0.2340418790747872,0.2853542581275137,0.2161408927849192,0.2363474581982479,0.338767120539663,0.1567016267974836,0.2444155777031353,0.152059814514816,0.2282807700396332,0.2545300036757472,0.3037785939050045,0.3200053545083229,0.1314321752570542,0.2788551646983816,0.2533143679131822,17,NK/CD8
52,0.2806797723498467,0.3998940641550322,0.2540476263488166,0.354447814499099,0.3297418922382698,0.2865444436472864,0.1537932627156585,0.2450608431786287,0.3838178192795803,0.2642549028340549,0.2822311194336998,0.2000594822211503,0.2411338561076184,0.3175648522242782,0.1348857778276425,0.2504773080349221,0.1410608232690297,0.2643628129886064,0.2303181702312909,0.2961371864541176,0.2708167116216813,0.0991703645886027,0.2171093051574097,0.2749435310276663,9,Endothelial cell
53,0.2576994989303248,0.3908408109180727,0.2217337238902396,0.3419866045478736,0.4153276609519121,0.3812420994115351,0.1653406538693291,0.2372201486984253,0.3576441278437199,0.2301689223295772,0.2932201174645122,0.2094355022568018,0.3610786819695496,0.3066174022570586,0.1572888526851409,0.233460867030517,0.1293834974913537,0.2530385681397373,0.2333225968788361,0.2680884624116602,0.2133379550823974,0.0940213696177553,0.1756598794381629,0.2256723043680527,1,B cell
54,0.2448258533826517,0.4168236735818514,0.2184972971861936,0.3309442719950916,0.3711569269218447,0.3638180248880148,0.1499716590397985,0.2480221573824877,0.396678682416452,0.2665255305746951,0.3542475094238034,0.2210851423205535,0.321471847799275,0.3016084307905192,0.1214316819853249,0.2185258131580441,0.1171585688175168,0.3626744478223065,0.1967988257427847,0.2618464176592076,0.2070719551623359,0.088238657630054,0.1865740626538101,0.2423627131585455,8,Macrophage
55,0.2401039053849014,0.3968068376069128,0.2252174896712388,0.3292017765350676,0.3535798599463358,0.340285486694196,0.1508907479521544,0.2397685979363536,0.3690806596682442,0.250032070941699,0.3762173616193639,0.2333128602306879,0.3177137642212504,0.3041945868576728,0.1252909284713475,0.2166862938695641,0.124712735744447,0.340523590089505,0.2070127997655348,0.2734000498813724,0.2385034894230905,0.1037365260811974,0.2132222154995504,0.2373041452561406,8,Macrophage
56,0.2362993278678108,0.3949515638311636,0.2249981433345054,0.3256545567110701,0.348500677701328,0.3397313483845647,0.1492886509309997,0.2410726156419378,0.3659559714264556,0.2492219834408582,0.3975313391668372,0.2391513164670224,0.3231917731055043,0.3015526595210615,0.121949454832565,0.2106889334376726,0.122120067889596,0.3475829548301359,0.2019557570413612,0.2754425575649637,0.2446809757919344,0.1004374046144253,0.2210046094833153,0.2323719571165617,8,Macrophage
57,0.23417720632765,0.3826737204255577,0.2289296550513717,0.3246064612202659,0.339689016118007,0.3266182313336817,0.1507113928562104,0.236005963472185,0.3494714184887929,0.2396508390291452,0.4060081010119324,0.2454447074762517,0.3214152587559807,0.3032001348573602,0.1252751566650514,0.2103390089958386,0.127045044167896,0.3315914075411257,0.2088964090530001,0.2813059746264675,0.2616252306066174,0.1112003379337006,0.2348156117939618,0.2296924805918598,8,Macrophage
58,0.2229841665952301,0.3791656169093922,0.2236875804546265,0.3200366075865801,0.3357576978705284,0.3281222843538259,0.1487969731574145,0.2333307909696894,0.340632713526755,0.2309335975619906,0.4428737720511652,0.257559072419024,0.3345264873637499,0.3002503953531018,0.1203116712965907,0.2028091324311639,0.1224687376249192,0.3469824969467509,0.2032876025998475,0.2833970355997871,0.2685818559166507,0.1086949379386138,0.245161269300413,0.2228744070171271,8,Macrophage
59,0.2592458150581698,0.3622448434406468,0.245090564233892,0.3395103702939715,0.3196232237686727,0.286517494597904,0.1608827580331988,0.2344010394779585,0.3246378642600654,0.2336514637478503,0.3672949325707734,0.2381463873461528,0.2883375832532323,0.3108857528594367,0.1457479495079322,0.2232935436230283,0.1460528563480073,0.253530222940507,0.235391859496288,0.30447189917575,0.2971471092942441,0.121559197973215,0.2485973434356029,0.2281468051772607,8,Macrophage
60,0.2588135276911109,0.3603354175158796,0.2645586065483756,0.3303522539409053,0.3098035410639689,0.2823011675607097,0.158473405466418,0.2270037649892775,0.3216639122213131,0.2388939236026314,0.3632580726553189,0.2332398263909312,0.2886801811216132,0.301087420693182,0.1620260058318663,0.2239554670557986,0.194210622974318,0.2483120676616324,0.2449325591012151,0.3083582070419883,0.2875585527640534,0.1338360708278109,0.2331260621771518,0.2201902589124396,8,Macrophage
